"","x"
"LC_1",40
"LC_2",9
"LC_3",1121
"LC_4",1623
"LC_5",36
"LC_6",124
"LC_7",124
"LC_8",1598
"LC_9",332
"LC_10",604
"LC_11",234
"LC_12",996
"LC_13",196
"LC_14",629
"LC_15",45
"LC_16",0
"LC_17",181
"LC_18",9
"LC_19",150
"LC_20",118
"LC_21",44
"LC_22",48
"LC_23",0
"LC_24",24
"cluster_assignment",13582
