"cluster_assignment","percent_male","percent_female"
1:4,42.0295271911792,57.9704728088208
1:4,30.3195405683994,69.6804594316007
1:4,41.3699690402477,58.6300309597523
1:4,27.4779541446208,72.5220458553792
