"","x"
"LC_1",58
"LC_2",118
"LC_3",129
"LC_4",558
"LC_5",108
"LC_6",211
"LC_7",1329
"LC_8",1109
"LC_9",499
"LC_10",519
"LC_11",295
"LC_12",806
"LC_13",0
"LC_14",414
"LC_15",373
"LC_16",92
"LC_17",163
"LC_18",43
"LC_19",189
"LC_20",255
"LC_21",28
"LC_22",20
"LC_23",48
"LC_24",13
"cluster_assignment",5351
