"","x"
"LC_1",8
"LC_2",33
"LC_3",59
"LC_4",70
"LC_5",5
"LC_6",30
"LC_7",0
"LC_8",33
"LC_9",30
"LC_10",23
"LC_11",17
"LC_12",39
"LC_13",3
"LC_14",58
"LC_15",2584
"LC_16",0
"LC_17",13
"LC_18",6
"LC_19",19
"LC_20",4
"LC_21",1
"LC_22",5
"LC_23",0
"LC_24",0
"cluster_assignment",7752
